,x_eye,y_eye,pupil_radius,iris_radius,file_name
77,43,35,5.0,17.0,f01_1255_-0.0000_0.1963
78,50,35,4.0,16.0,f01_1256_-0.0000_-0.0000
79,56,35,4.0,16.0,f01_1257_-0.0000_-0.1963
80,63,35,5.0,15.0,f01_1258_-0.0000_-0.3927
81,70,35,5.0,13.0,f01_1259_-0.0000_-0.5890
82,70,28,5.0,13.0,f01_125_-0.0000_-0.5890
83,42,42,4.0,16.0,f01_1264_-0.1963_0.1963
84,50,42,5.0,17.0,f01_1265_-0.1963_-0.0000
85,57,42,5.0,16.0,f01_1266_-0.1963_-0.1963
86,64,41,6.0,15.0,f01_1267_-0.1963_-0.3927
87,70,41,5.0,13.0,f01_1268_-0.1963_-0.5890
88,42,48,4.0,16.0,f01_1273_-0.3927_0.1963
89,50,49,5.0,16.0,f01_1274_-0.3927_-0.0000
90,57,48,6.0,16.0,f01_1275_-0.3927_-0.1963
91,64,47,5.0,15.0,f01_1276_-0.3927_-0.3927
92,70,46,6.0,14.0,f01_1277_-0.3927_-0.5890
93,43,36,4.0,16.0,f01_130_-0.1963_0.1963
94,50,36,6.0,17.0,f01_131_-0.1963_-0.0000
95,73,23,6.0,14.0,f01_1322_0.3927_-0.5890
96,46,28,4.0,17.0,f01_1327_0.1963_0.1963
97,53,28,5.0,17.0,f01_1328_0.1963_-0.0000
98,60,28,6.0,17.0,f01_1329_0.1963_-0.1963
99,57,36,5.0,16.0,f01_132_-0.1963_-0.1963
100,67,28,5.0,15.0,f01_1330_0.1963_-0.3927
101,73,29,6.0,14.0,f01_1331_0.1963_-0.5890
102,39,35,4.0,15.0,f01_1335_-0.0000_0.3927
103,46,35,4.0,16.0,f01_1336_-0.0000_0.1963
104,53,34,5.0,17.0,f01_1337_-0.0000_-0.0000
105,60,34,5.0,16.0,f01_1338_-0.0000_-0.1963
106,67,35,6.0,15.0,f01_1339_-0.0000_-0.3927
107,64,35,5.0,15.0,f01_133_-0.1963_-0.3927
108,73,34,5.0,13.0,f01_1340_-0.0000_-0.5890
109,39,41,4.0,15.0,f01_1344_-0.1963_0.3927
110,46,42,4.0,16.0,f01_1345_-0.1963_0.1963
111,53,42,5.0,17.0,f01_1346_-0.1963_-0.0000
112,60,42,5.0,16.0,f01_1347_-0.1963_-0.1963
113,67,41,5.0,16.0,f01_1348_-0.1963_-0.3927
114,73,40,5.0,14.0,f01_1349_-0.1963_-0.5890
115,69,34,4.0,13.0,f01_134_-0.1963_-0.5890
116,39,47,4.0,15.0,f01_1353_-0.3927_0.3927
117,46,48,4.0,17.0,f01_1354_-0.3927_0.1963
118,53,48,5.0,16.0,f01_1355_-0.3927_-0.0000
119,60,48,4.0,17.0,f01_1356_-0.3927_-0.1963
120,67,47,6.0,16.0,f01_1357_-0.3927_-0.3927
121,73,46,5.0,12.0,f01_1358_-0.3927_-0.5890
122,67,53,6.0,15.0,f01_1366_-0.5890_-0.3927
123,73,51,5.0,14.0,f01_1367_-0.5890_-0.5890
124,42,42,5.0,16.0,f01_139_-0.3927_0.1963
125,43,28,4.0,17.0,f01_1407_0.1963_0.3927
126,49,27,3.0,16.0,f01_1408_0.1963_0.1963
127,56,27,5.0,16.0,f01_1409_0.1963_-0.0000
128,50,43,5.0,16.0,f01_140_-0.3927_-0.0000
129,63,27,5.0,16.0,f01_1410_0.1963_-0.1963
130,70,28,6.0,15.0,f01_1411_0.1963_-0.3927
131,42,35,3.0,15.0,f01_1416_-0.0000_0.3927
132,49,35,4.0,16.0,f01_1417_-0.0000_0.1963
133,56,34,4.0,17.0,f01_1418_-0.0000_-0.0000
134,63,34,5.0,15.0,f01_1419_-0.0000_-0.1963
135,57,42,5.0,16.0,f01_141_-0.3927_-0.1963
136,70,35,6.0,15.0,f01_1420_-0.0000_-0.3927
137,42,41,3.0,15.0,f01_1425_-0.1963_0.3927
138,49,41,4.0,16.0,f01_1426_-0.1963_0.1963
139,56,42,5.0,16.0,f01_1427_-0.1963_-0.0000
140,63,41,5.0,16.0,f01_1428_-0.1963_-0.1963
141,70,41,5.0,15.0,f01_1429_-0.1963_-0.3927
142,64,41,5.0,15.0,f01_142_-0.3927_-0.3927
143,56,48,4.0,16.0,f01_1436_-0.3927_-0.0000
144,63,48,5.0,16.0,f01_1437_-0.3927_-0.1963
145,70,47,5.0,15.0,f01_1438_-0.3927_-0.3927
146,69,40,5.0,13.0,f01_143_-0.3927_-0.5890
147,46,28,4.0,16.0,f01_1488_0.1963_0.3927
148,52,27,4.0,15.0,f01_1489_0.1963_0.1963
149,59,28,4.0,16.0,f01_1490_0.1963_-0.0000
150,66,27,4.0,16.0,f01_1491_0.1963_-0.1963
151,73,28,4.0,15.0,f01_1492_0.1963_-0.3927
152,40,34,2.0,14.0,f01_1496_-0.0000_0.5890
153,46,35,4.0,15.0,f01_1497_-0.0000_0.3927
154,52,34,3.0,16.0,f01_1498_-0.0000_0.1963
155,60,34,5.0,16.0,f01_1499_-0.0000_-0.0000
156,66,35,5.0,16.0,f01_1500_-0.0000_-0.1963
157,73,34,5.0,15.0,f01_1501_-0.0000_-0.3927
158,46,41,4.0,16.0,f01_1506_-0.1963_0.3927
159,52,41,3.0,16.0,f01_1507_-0.1963_0.1963
160,60,42,5.0,17.0,f01_1508_-0.1963_-0.0000
161,67,41,5.0,16.0,f01_1509_-0.1963_-0.1963
162,73,41,4.0,15.0,f01_1510_-0.1963_-0.3927
163,46,47,4.0,15.0,f01_1515_-0.3927_0.3927
164,52,48,4.0,16.0,f01_1516_-0.3927_0.1963
165,60,48,5.0,16.0,f01_1517_-0.3927_-0.0000
166,66,48,4.0,16.0,f01_1518_-0.3927_-0.1963
167,74,47,5.0,15.0,f01_1519_-0.3927_-0.3927
168,70,45,5.0,13.0,f01_152_-0.5890_-0.5890
169,43,28,2.0,14.0,f01_1568_0.1963_0.5890
170,49,28,3.0,15.0,f01_1569_0.1963_0.3927
171,56,27,4.0,16.0,f01_1570_0.1963_0.1963
172,63,27,5.0,16.0,f01_1571_0.1963_-0.0000
173,70,28,5.0,17.0,f01_1572_0.1963_-0.1963
174,43,34,3.0,14.0,f01_1577_-0.0000_0.5890
175,49,34,3.0,15.0,f01_1578_-0.0000_0.3927
176,56,35,3.0,17.0,f01_1579_-0.0000_0.1963
177,63,35,5.0,17.0,f01_1580_-0.0000_-0.0000
178,70,35,4.0,16.0,f01_1581_-0.0000_-0.1963
179,43,40,2.0,14.0,f01_1586_-0.1963_0.5890
180,49,41,4.0,15.0,f01_1587_-0.1963_0.3927
181,56,42,5.0,16.0,f01_1588_-0.1963_0.1963
182,63,41,5.0,16.0,f01_1589_-0.1963_-0.0000
183,70,41,5.0,16.0,f01_1590_-0.1963_-0.1963
184,43,46,3.0,13.0,f01_1595_-0.3927_0.5890
185,56,48,4.0,16.0,f01_1597_-0.3927_0.1963
186,63,48,4.0,17.0,f01_1598_-0.3927_-0.0000
187,70,48,6.0,17.0,f01_1599_-0.3927_-0.1963
188,43,51,3.0,14.0,f01_1604_-0.5890_0.5890
189,49,53,3.0,15.0,f01_1605_-0.5890_0.3927
190,46,23,2.0,13.0,f01_1640_0.3927_0.5890
191,41,29,1.0,11.0,f01_1648_0.1963_0.7854
192,46,28,3.0,13.0,f01_1649_0.1963_0.5890
193,52,28,3.0,14.0,f01_1650_0.1963_0.3927
194,59,27,3.0,16.0,f01_1651_0.1963_0.1963
195,66,28,5.0,17.0,f01_1652_0.1963_-0.0000
196,41,34,2.0,12.0,f01_1657_-0.0000_0.7854
197,46,34,3.0,14.0,f01_1658_-0.0000_0.5890
198,52,35,4.0,15.0,f01_1659_-0.0000_0.3927
199,59,35,3.0,16.0,f01_1660_-0.0000_0.1963
200,66,35,5.0,16.0,f01_1661_-0.0000_-0.0000
201,73,35,5.0,16.0,f01_1662_-0.0000_-0.1963
202,41,39,1.0,11.0,f01_1666_-0.1963_0.7854
203,46,40,2.0,14.0,f01_1667_-0.1963_0.5890
204,52,41,3.0,15.0,f01_1668_-0.1963_0.3927
205,59,41,4.0,16.0,f01_1669_-0.1963_0.1963
206,66,42,4.0,17.0,f01_1670_-0.1963_-0.0000
207,73,41,5.0,16.0,f01_1671_-0.1963_-0.1963
208,41,44,1.0,11.0,f01_1675_-0.3927_0.7854
209,46,46,3.0,13.0,f01_1676_-0.3927_0.5890
210,52,47,3.0,15.0,f01_1677_-0.3927_0.3927
211,59,48,4.0,17.0,f01_1678_-0.3927_0.1963
212,66,49,5.0,16.0,f01_1679_-0.3927_-0.0000
213,41,48,2.0,11.0,f01_1684_-0.5890_0.7854
214,53,53,5.0,16.0,f01_1686_-0.5890_0.3927
215,72,23,5.0,10.0,f01_1719_0.5890_-0.7854
216,54,24,5.0,17.0,f01_1725_0.3927_-0.1963
217,60,25,5.0,14.0,f01_1726_0.3927_-0.3927
218,67,26,5.0,14.0,f01_1727_0.3927_-0.5890
219,72,28,5.0,11.0,f01_1728_0.3927_-0.7854
220,47,31,5.0,17.0,f01_1733_0.1963_-0.0000
221,54,31,5.0,15.0,f01_1734_0.1963_-0.1963
222,61,31,6.0,15.0,f01_1735_0.1963_-0.3927
223,67,32,5.0,13.0,f01_1736_0.1963_-0.5890
224,72,33,5.0,11.0,f01_1737_0.1963_-0.7854
225,40,38,4.0,16.0,f01_1741_-0.0000_0.1963
226,47,38,5.0,16.0,f01_1742_-0.0000_-0.0000
227,54,38,5.0,16.0,f01_1743_-0.0000_-0.1963
228,60,38,5.0,14.0,f01_1744_-0.0000_-0.3927
229,67,38,5.0,13.0,f01_1745_-0.0000_-0.5890
230,72,38,5.0,11.0,f01_1746_-0.0000_-0.7854
231,47,45,5.0,17.0,f01_1751_-0.1963_-0.0000
232,54,45,6.0,16.0,f01_1752_-0.1963_-0.1963
233,60,44,6.0,15.0,f01_1753_-0.1963_-0.3927
234,67,44,6.0,13.0,f01_1754_-0.1963_-0.5890
235,72,43,5.0,11.0,f01_1755_-0.1963_-0.7854
236,47,52,5.0,17.0,f01_1760_-0.3927_-0.0000
237,54,51,6.0,16.0,f01_1761_-0.3927_-0.1963
238,67,49,5.0,13.0,f01_1763_-0.3927_-0.5890
239,72,48,5.0,11.0,f01_1764_-0.3927_-0.7854
240,72,52,5.0,11.0,f01_1773_-0.5890_-0.7854
241,50,24,5.0,16.0,f01_1805_0.3927_-0.0000
242,57,24,5.0,16.0,f01_1806_0.3927_-0.1963
243,64,25,6.0,15.0,f01_1807_0.3927_-0.3927
244,70,26,6.0,13.0,f01_1808_0.3927_-0.5890
245,43,31,5.0,17.0,f01_1813_0.1963_0.1963
246,50,31,6.0,17.0,f01_1814_0.1963_-0.0000
247,57,31,5.0,16.0,f01_1815_0.1963_-0.1963
248,63,31,5.0,14.0,f01_1816_0.1963_-0.3927
249,70,32,5.0,13.0,f01_1817_0.1963_-0.5890
250,43,38,5.0,18.0,f01_1822_-0.0000_0.1963
251,50,38,5.0,17.0,f01_1823_-0.0000_-0.0000
252,56,38,4.0,16.0,f01_1824_-0.0000_-0.1963
253,64,38,5.0,15.0,f01_1825_-0.0000_-0.3927
254,69,38,4.0,13.0,f01_1826_-0.0000_-0.5890
255,43,45,4.0,17.0,f01_1831_-0.1963_0.1963
256,50,45,6.0,16.0,f01_1832_-0.1963_-0.0000
257,57,45,4.0,16.0,f01_1833_-0.1963_-0.1963
258,63,44,5.0,15.0,f01_1834_-0.1963_-0.3927
259,69,44,5.0,13.0,f01_1835_-0.1963_-0.5890
260,43,51,4.0,17.0,f01_1840_-0.3927_0.1963
261,57,51,5.0,16.0,f01_1842_-0.3927_-0.1963
262,64,50,7.0,15.0,f01_1843_-0.3927_-0.3927
263,70,49,6.0,13.0,f01_1844_-0.3927_-0.5890
264,46,24,5.0,17.0,f01_1885_0.3927_0.1963
265,53,24,5.0,17.0,f01_1886_0.3927_-0.0000
266,60,24,6.0,17.0,f01_1887_0.3927_-0.1963
267,67,25,5.0,16.0,f01_1888_0.3927_-0.3927
268,73,26,5.0,13.0,f01_1889_0.3927_-0.5890
269,39,31,4.0,16.0,f01_1893_0.1963_0.3927
270,46,31,5.0,17.0,f01_1894_0.1963_0.1963
271,53,31,5.0,16.0,f01_1895_0.1963_-0.0000
272,60,31,6.0,16.0,f01_1896_0.1963_-0.1963
273,67,31,6.0,15.0,f01_1897_0.1963_-0.3927
274,73,32,5.0,14.0,f01_1898_0.1963_-0.5890
275,39,38,3.0,16.0,f01_1902_-0.0000_0.3927
276,46,38,4.0,16.0,f01_1903_-0.0000_0.1963
277,53,38,5.0,17.0,f01_1904_-0.0000_-0.0000
278,60,38,5.0,16.0,f01_1905_-0.0000_-0.1963
279,67,38,5.0,15.0,f01_1906_-0.0000_-0.3927
280,73,38,5.0,15.0,f01_1907_-0.0000_-0.5890
281,39,44,3.0,16.0,f01_1911_-0.1963_0.3927
282,46,45,4.0,16.0,f01_1912_-0.1963_0.1963
283,53,45,5.0,17.0,f01_1913_-0.1963_-0.0000
284,60,45,6.0,16.0,f01_1914_-0.1963_-0.1963
285,67,44,6.0,15.0,f01_1915_-0.1963_-0.3927
286,73,44,5.0,13.0,f01_1916_-0.1963_-0.5890
287,39,50,4.0,16.0,f01_1920_-0.3927_0.3927
288,46,51,4.0,18.0,f01_1921_-0.3927_0.1963
289,53,52,5.0,17.0,f01_1922_-0.3927_-0.0000
290,60,51,7.0,16.0,f01_1923_-0.3927_-0.1963
291,73,49,5.0,14.0,f01_1925_-0.3927_-0.5890
292,49,24,3.0,16.0,f01_1966_0.3927_0.1963
293,56,24,5.0,16.0,f01_1967_0.3927_-0.0000
294,63,24,5.0,16.0,f01_1968_0.3927_-0.1963
295,70,25,4.0,15.0,f01_1969_0.3927_-0.3927
296,42,31,3.0,15.0,f01_1974_0.1963_0.3927
297,49,31,4.0,16.0,f01_1975_0.1963_0.1963
298,56,31,6.0,16.0,f01_1976_0.1963_-0.0000
299,63,31,5.0,16.0,f01_1977_0.1963_-0.1963
300,70,31,5.0,14.0,f01_1978_0.1963_-0.3927
301,42,38,3.0,15.0,f01_1983_-0.0000_0.3927
302,49,38,3.0,17.0,f01_1984_-0.0000_0.1963
303,56,38,5.0,16.0,f01_1985_-0.0000_-0.0000
304,63,38,5.0,16.0,f01_1986_-0.0000_-0.1963
305,70,38,5.0,15.0,f01_1987_-0.0000_-0.3927
306,42,44,4.0,15.0,f01_1992_-0.1963_0.3927
307,49,45,4.0,16.0,f01_1993_-0.1963_0.1963
308,56,45,5.0,16.0,f01_1994_-0.1963_-0.0000
309,63,45,5.0,16.0,f01_1995_-0.1963_-0.1963
310,70,44,5.0,15.0,f01_1996_-0.1963_-0.3927
311,42,50,3.0,15.0,f01_2001_-0.3927_0.3927
312,63,51,6.0,16.0,f01_2004_-0.3927_-0.1963
313,70,50,6.0,16.0,f01_2005_-0.3927_-0.3927
314,53,29,5.0,17.0,f01_203_-0.0000_-0.0000
315,46,25,4.0,15.0,f01_2046_0.3927_0.3927
316,52,24,3.0,16.0,f01_2047_0.3927_0.1963
317,60,24,6.0,17.0,f01_2048_0.3927_-0.0000
318,66,24,5.0,16.0,f01_2049_0.3927_-0.1963
319,60,28,5.0,16.0,f01_204_-0.0000_-0.1963
320,73,25,5.0,15.0,f01_2050_0.3927_-0.3927
321,39,32,2.0,14.0,f01_2054_0.1963_0.5890
322,46,31,4.0,15.0,f01_2055_0.1963_0.3927
323,52,31,4.0,16.0,f01_2056_0.1963_0.1963
324,59,31,4.0,16.0,f01_2057_0.1963_-0.0000
325,67,31,5.0,16.0,f01_2058_0.1963_-0.1963
326,73,31,4.0,16.0,f01_2059_0.1963_-0.3927
327,67,28,6.0,15.0,f01_205_-0.0000_-0.3927
328,40,38,4.0,14.0,f01_2063_-0.0000_0.5890
329,46,38,4.0,16.0,f01_2064_-0.0000_0.3927
330,52,38,4.0,15.0,f01_2065_-0.0000_0.1963
331,59,38,4.0,16.0,f01_2066_-0.0000_-0.0000
332,67,38,5.0,16.0,f01_2067_-0.0000_-0.1963
333,73,38,5.0,14.0,f01_2068_-0.0000_-0.3927
334,73,28,5.0,13.0,f01_206_-0.0000_-0.5890
335,40,44,3.0,14.0,f01_2072_-0.1963_0.5890
336,46,44,4.0,15.0,f01_2073_-0.1963_0.3927
337,52,45,4.0,15.0,f01_2074_-0.1963_0.1963
338,59,45,4.0,16.0,f01_2075_-0.1963_-0.0000
339,66,45,5.0,16.0,f01_2076_-0.1963_-0.1963
340,73,44,4.0,15.0,f01_2077_-0.1963_-0.3927
341,40,49,3.0,15.0,f01_2081_-0.3927_0.5890
342,46,50,4.0,16.0,f01_2082_-0.3927_0.3927
343,59,52,4.0,16.0,f01_2084_-0.3927_-0.0000
344,66,51,5.0,16.0,f01_2085_-0.3927_-0.1963
345,73,50,4.0,15.0,f01_2086_-0.3927_-0.3927
346,39,35,4.0,16.0,f01_210_-0.1963_0.3927
347,46,35,4.0,17.0,f01_211_-0.1963_0.1963
348,43,26,3.0,14.0,f01_2126_0.3927_0.5890
349,49,25,3.0,15.0,f01_2127_0.3927_0.3927
350,56,24,5.0,16.0,f01_2128_0.3927_0.1963
351,63,24,5.0,17.0,f01_2129_0.3927_-0.0000
352,53,36,4.0,17.0,f01_212_-0.1963_-0.0000
353,70,24,5.0,16.0,f01_2130_0.3927_-0.1963
354,43,32,3.0,14.0,f01_2135_0.1963_0.5890
355,49,31,4.0,15.0,f01_2136_0.1963_0.3927
356,56,31,4.0,16.0,f01_2137_0.1963_0.1963
357,63,31,4.0,17.0,f01_2138_0.1963_-0.0000
358,70,31,6.0,17.0,f01_2139_0.1963_-0.1963
359,60,35,5.0,17.0,f01_213_-0.1963_-0.1963
360,43,38,3.0,14.0,f01_2144_-0.0000_0.5890
361,49,38,4.0,15.0,f01_2145_-0.0000_0.3927
362,56,38,5.0,17.0,f01_2146_-0.0000_0.1963
363,63,38,5.0,17.0,f01_2147_-0.0000_-0.0000
364,70,38,7.0,17.0,f01_2148_-0.0000_-0.1963
365,67,35,4.0,15.0,f01_214_-0.1963_-0.3927
366,43,44,2.0,14.0,f01_2153_-0.1963_0.5890
367,49,44,3.0,15.0,f01_2154_-0.1963_0.3927
368,56,45,5.0,17.0,f01_2155_-0.1963_0.1963
369,63,45,5.0,17.0,f01_2156_-0.1963_-0.0000
370,70,45,5.0,17.0,f01_2157_-0.1963_-0.1963
371,73,34,6.0,14.0,f01_215_-0.1963_-0.5890
372,43,49,2.0,14.0,f01_2162_-0.3927_0.5890
373,56,51,4.0,17.0,f01_2164_-0.3927_0.1963
374,63,52,5.0,16.0,f01_2165_-0.3927_-0.0000
375,70,51,5.0,16.0,f01_2166_-0.3927_-0.1963
376,41,28,1.0,12.0,f01_2206_0.3927_0.7854
377,46,26,3.0,13.0,f01_2207_0.3927_0.5890
378,52,25,3.0,15.0,f01_2208_0.3927_0.3927
379,59,24,4.0,17.0,f01_2209_0.3927_0.1963
380,46,42,5.0,17.0,f01_220_-0.3927_0.1963
381,66,24,5.0,16.0,f01_2210_0.3927_-0.0000
382,41,33,2.0,11.0,f01_2215_0.1963_0.7854
383,46,32,2.0,13.0,f01_2216_0.1963_0.5890
384,52,31,3.0,15.0,f01_2217_0.1963_0.3927
385,59,31,3.0,16.0,f01_2218_0.1963_0.1963
386,66,31,4.0,17.0,f01_2219_0.1963_-0.0000
387,53,42,4.0,17.0,f01_221_-0.3927_-0.0000
388,41,38,2.0,11.0,f01_2224_-0.0000_0.7854
389,46,38,2.0,14.0,f01_2225_-0.0000_0.5890
390,52,38,3.0,15.0,f01_2226_-0.0000_0.3927
391,59,38,5.0,16.0,f01_2227_-0.0000_0.1963
392,66,38,4.0,17.0,f01_2228_-0.0000_-0.0000
393,73,38,4.0,16.0,f01_2229_-0.0000_-0.1963
394,60,42,5.0,16.0,f01_222_-0.3927_-0.1963
395,41,43,1.0,11.0,f01_2233_-0.1963_0.7854
396,46,44,2.0,13.0,f01_2234_-0.1963_0.5890
397,52,44,4.0,15.0,f01_2235_-0.1963_0.3927
398,59,45,4.0,16.0,f01_2236_-0.1963_0.1963
399,66,45,4.0,17.0,f01_2237_-0.1963_-0.0000
400,67,41,5.0,15.0,f01_223_-0.3927_-0.3927
401,41,47,1.0,12.0,f01_2242_-0.3927_0.7854
402,46,49,2.0,13.0,f01_2243_-0.3927_0.5890
403,59,51,3.0,16.0,f01_2245_-0.3927_0.1963
404,66,52,4.0,17.0,f01_2246_-0.3927_-0.0000
405,73,39,5.0,14.0,f01_224_-0.3927_-0.5890
406,41,52,1.0,11.0,f01_2251_-0.5890_0.7854
407,61,22,6.0,15.0,f01_2284_0.5890_-0.3927
408,66,24,4.0,13.0,f01_2285_0.5890_-0.5890
409,72,27,4.0,11.0,f01_2286_0.5890_-0.7854
410,39,47,3.0,15.0,f01_228_-0.5890_0.3927
411,47,27,5.0,17.0,f01_2291_0.3927_-0.0000
412,54,27,6.0,16.0,f01_2292_0.3927_-0.1963
413,61,28,5.0,15.0,f01_2293_0.3927_-0.3927
414,67,29,5.0,14.0,f01_2294_0.3927_-0.5890
415,72,31,5.0,11.0,f01_2295_0.3927_-0.7854
416,40,34,5.0,17.0,f01_2299_0.1963_0.1963
417,47,34,5.0,17.0,f01_2300_0.1963_-0.0000
418,54,34,5.0,16.0,f01_2301_0.1963_-0.1963
419,61,34,6.0,15.0,f01_2302_0.1963_-0.3927
420,67,35,5.0,13.0,f01_2303_0.1963_-0.5890
421,72,36,5.0,10.0,f01_2304_0.1963_-0.7854
422,40,41,4.0,16.0,f01_2308_-0.0000_0.1963
423,47,41,5.0,17.0,f01_2309_-0.0000_-0.0000
424,54,41,5.0,17.0,f01_2310_-0.0000_-0.1963
425,61,41,6.0,15.0,f01_2311_-0.0000_-0.3927
426,67,41,5.0,13.0,f01_2312_-0.0000_-0.5890
427,72,41,5.0,11.0,f01_2313_-0.0000_-0.7854
428,47,48,6.0,16.0,f01_2318_-0.1963_-0.0000
429,54,47,5.0,17.0,f01_2319_-0.1963_-0.1963
430,60,48,6.0,16.0,f01_231_-0.5890_-0.1963
431,61,47,5.0,15.0,f01_2320_-0.1963_-0.3927
432,67,47,6.0,12.0,f01_2321_-0.1963_-0.5890
433,72,46,5.0,11.0,f01_2322_-0.1963_-0.7854
434,67,47,6.0,16.0,f01_232_-0.5890_-0.3927
435,67,53,6.0,13.0,f01_2330_-0.3927_-0.5890
436,72,51,5.0,11.0,f01_2331_-0.3927_-0.7854
437,73,44,6.0,13.0,f01_233_-0.5890_-0.5890
438,63,22,5.0,14.0,f01_2365_0.5890_-0.3927
439,70,24,6.0,14.0,f01_2366_0.5890_-0.5890
440,43,27,4.0,16.0,f01_2371_0.3927_0.1963
441,50,27,5.0,17.0,f01_2372_0.3927_-0.0000
442,57,27,5.0,17.0,f01_2373_0.3927_-0.1963
443,64,28,6.0,15.0,f01_2374_0.3927_-0.3927
444,69,30,5.0,13.0,f01_2375_0.3927_-0.5890
445,43,34,4.0,16.0,f01_2380_0.1963_0.1963
